Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
2004,4,15.72,4.26,22.5,58.2
2004,5,18,7.8,43.9,70.9
2004,6,21.36,11.06,47.6,57.9
2004,7,23.46,12.75,71.3,74.1
2004,8,25.06,14,53.4,54.6
2004,9,19.25,9.15,24.2,25.6
2004,10,13.78,6.09,40.3,33.9
2004,11,6.73,1.38,53.4,17.4
2004,12,3.18,-1.26,33.5,3.9
2005,1,4.1,-0.53,36.1,9.9
2005,2,0.99,-4.66,38.2,0.5
2005,3,5.91,-2.47,24.6,24.3
2005,4,15.75,4.2,23.2,63.1
2005,5,19.64,8.19,67.7,85.4
2005,6,22.17,11.41,31.7,54.6
2005,7,25.41,14.01,90.5,95.1
2005,8,22.12,11.98,42.3,45.2
2005,9,21.29,10.16,32.8,34.4
2005,10,15.12,5.85,9.7,11.5
2005,11,6.18,1.01,20.9,13.1
2005,12,1.88,-2.27,82,1.6
2006,1,-2.58,-8.38,13.8,0
2006,2,1.31,-4.36,25.4,0.4
2006,3,4.5,-3.62,29.4,7.5
2006,4,14.33,4.47,40.8,67
2006,5,19.47,8.58,43.6,87.5
2006,6,24.13,12.93,40.7,64.3
2006,7,28.52,15.6,21.7,29.9
2006,8,22.09,12.46,127.2,87.3
2006,9,22.53,11.74,23.9,46.1
2006,10,15.65,7.46,33,33.4
2006,11,9.56,4.01,43.8,21.7
2006,12,6.2,1.94,30.3,11.7
2007,1,6.86,1.82,75,21.5
2007,2,4.34,-0.72,40.5,16.1
2007,3,10.75,2.16,49,41.7
2007,4,17.24,5.56,9.5,65.2
2007,5,21.53,9.74,72.2,85.7
2007,6,24.55,13.75,79.2,83.8
2007,7,24.1,13.8,118.3,115.2
2007,8,23.73,13.22,51.6,52.8
2007,9,17.77,8.82,45.3,45.7
2007,10,11.85,4.37,20.3,20.6
2007,11,5.34,0.56,42.1,16
2007,12,2.58,-1.23,27.9,3.1
2008,1,4.84,0.24,60.8,13.6
2008,2,6.91,0.91,22.1,20.2
2008,3,7.76,0.39,51,36.5
2008,4,14,4.03,63,61.7
2008,5,20.7,9.15,15.2,77.4
2008,6,24.68,12.71,26,37.9
2008,7,25.47,14.07,58.2,61.7
2008,8,23.67,13.35,75.8,75.9
2008,9,17.7,8.98,27.7,29
2008,10,13.02,5.68,57.6,30.3
2008,11,7.94,2.71,28,17.1
2008,12,2.68,-1.22,24.1,3.5
2009,1,-0.18,-5.25,22.2,0
2009,2,2,-2.92,32.4,1.1
2009,3,7.3,0.97,50.3,32.2
2009,4,18.45,6.26,11,66.4
2009,5,20.06,8.23,72.9,85.3
2009,6,20.79,10.72,91.4,92.2
2009,7,25.21,14.16,91.4,94.1
2009,8,25.38,13.77,33.3,35.9
2009,9,20.71,10.29,33.9,35
2009,10,10.55,4.25,63.3,31.3
2009,11,9.09,4.54,35.5,19.2
2009,12,1.08,-3.62,40.7,0.5
2010,1,-3.7,-8.58,32.9,0
2010,2,1.32,-3.84,15.1,0.5
2010,3,7.84,-0.24,39.6,32.9
2010,4,14.98,4.03,24.9,58.9
2010,5,16.38,7.29,92.3,74.1
2010,6,23.18,12.12,27.5,74.4
2010,7,28.37,16.33,85,92.3
2010,8,23.31,13.77,119.1,92.8
2010,9,17.04,8.62,84.6,56.5
2010,10,11.12,2.97,11.2,24.2
2010,11,7.16,2.29,87.4,12.2
2010,12,-3.14,-8.62,54.7,0
2011,1,2.5,-2.06,29.5,2.4
2011,2,1.04,-5.12,22.2,0
2011,3,8.26,-0.65,24.5,38.4
2011,4,17.97,6.56,13.4,64.1
2011,5,21.13,8.74,28.7,50.9
2011,6,24.36,13.14,58.9,64.9
2011,7,22.73,13.42,163.8,99.9
2011,8,23.85,13.45,49.8,78.9
2011,9,20.75,10.26,39,49.3
2011,10,13.83,5.19,31.2,31.9
2011,11,6.68,0.93,1.2,3.7
2011,12,5.09,0.93,49.3,15.8
2012,1,3.19,-1.68,68.7,5.2
2012,2,-0.23,-6.99,36.1,0
2012,3,10.7,1.59,13.5,43
2012,4,14.99,4.42,27.1,59.4
2012,5,21.76,9.41,43.8,77.9
2012,6,21.95,11.57,90.6,94.4
2012,7,24.86,14.02,118.2,114.4
2012,8,24.73,13.21,48.6,51.9
2012,9,19.79,9.57,35.2,37
2012,10,12.48,4.7,30.2,29.3
2012,11,7.45,2.89,44.3,13.6
2012,12,1.07,-3.68,29.8,0.7
2013,1,0.81,-3.75,60,0.6
2013,2,1.45,-2.67,31.9,0.8
2013,3,2.1,-5.24,35.4,1.3
2013,4,14.03,4.08,22.5,67.1
2013,5,19.63,9.38,73.5,87.6
2013,6,22.96,12.48,107.4,109.7
2013,7,26.53,14.85,50.7,90.9
2013,8,25.06,13.21,42.6,51.7
2013,9,17.34,8.63,69.5,59.3
